participant,category,product
0,bread,Baguette
0,bread,Rye
0,cheese,Camembert
0,cheese,Gouda
0,cheese,Mozzarella
0,salad,Caesar
0,salad,Greek
1,bread,Focaccia
1,bread,Sourdough
1,cheese,Camembert
1,cheese,Cheddar
1,cheese,Parmesan
1,salad,Greek
1,salad,Waldorf
2,bread,Sourdough
2,bread,Baguette
2,bread,Rye
2,cheese,Brie
2,cheese,Cheddar
2,cheese,Roquefort
2,salad,Caesar
3,bread,Baguette
3,bread,Focaccia
3,cheese,Camembert
3,cheese,Cheddar
3,salad,Caprese
3,salad,Greek
4,bread,Sourdough
4,cheese,Mozzarella
4,cheese,Parmesan
4,salad,Greek
4,salad,Caprese
4,salad,Caesar
5,bread,Rye
5,bread,Baguette
5,cheese,Gouda
5,salad,Caesar
5,salad,Waldorf
5,salad,Caprese
6,bread,Rye
6,cheese,Mozzarella
6,cheese,Camembert
6,salad,Caesar
6,salad,Caprese
7,bread,Baguette
7,bread,Rye
7,bread,Sourdough
7,cheese,Gouda
7,cheese,Camembert
7,cheese,Mozzarella
7,salad,Caprese
7,salad,Greek
7,salad,Cobb
8,bread,Sourdough
8,cheese,Camembert
8,cheese,Mozzarella
8,cheese,Gouda
8,salad,Greek
8,salad,Waldorf
9,bread,Baguette
9,bread,Focaccia
9,bread,Sourdough
9,cheese,Camembert
9,cheese,Cheddar
9,cheese,Gouda
9,salad,Caesar
9,salad,Greek
10,bread,Focaccia
10,bread,Sourdough
10,bread,Baguette
10,cheese,Gouda
10,cheese,Parmesan
10,salad,Greek
10,salad,Waldorf
10,salad,Caesar
11,bread,Sourdough
11,bread,Rye
11,bread,Baguette
11,cheese,Brie
11,cheese,Mozzarella
11,salad,Caprese
11,salad,Waldorf
12,bread,Rye
12,cheese,Mozzarella
12,cheese,Camembert
12,salad,Caesar
12,salad,Greek
12,salad,Cobb
13,bread,Rye
13,bread,Focaccia
13,cheese,Gouda
13,salad,Greek
13,salad,Waldorf
13,salad,Caesar
14,bread,Focaccia
14,cheese,Parmesan
14,cheese,Camembert
14,salad,Caesar
14,salad,Caprese
15,bread,Sourdough
15,bread,Baguette
15,cheese,Gouda
15,cheese,Camembert
15,salad,Greek
15,salad,Caprese
15,salad,Wedge
16,bread,Focaccia
16,bread,Rye
16,cheese,Cheddar
16,cheese,Camembert
16,cheese,Gouda
16,salad,Caprese
17,bread,Sourdough
17,bread,Baguette
17,bread,Focaccia
17,cheese,Camembert
17,cheese,Roquefort
17,cheese,Cheddar
17,salad,Greek
18,bread,Rye
18,bread,Focaccia
18,bread,Baguette
18,cheese,Roquefort
18,cheese,Mozzarella
18,cheese,Camembert
18,salad,Caesar
18,salad,Waldorf
19,bread,Baguette
19,bread,Sourdough
19,cheese,Mozzarella
19,cheese,Gouda
19,cheese,Cheddar
19,salad,Caesar
19,salad,Greek
20,bread,Baguette
20,cheese,Cheddar
20,cheese,Parmesan
20,cheese,Gouda
20,salad,Caprese
20,salad,Greek
21,bread,Sourdough
21,bread,Rye
21,bread,Baguette
21,cheese,Gouda
21,cheese,Parmesan
21,cheese,Camembert
21,salad,Caesar
21,salad,Caprese
22,bread,Focaccia
22,bread,Rye
22,cheese,Brie
22,cheese,Camembert
22,cheese,Parmesan
22,salad,Caprese
22,salad,Waldorf
22,salad,Cobb
23,bread,Rye
23,cheese,Camembert
23,cheese,Parmesan
23,cheese,Gouda
23,salad,Greek
23,salad,Caprese
23,salad,Caesar
24,bread,Baguette
24,bread,Sourdough
24,cheese,Camembert
24,salad,Caesar
24,salad,Caprese
24,salad,Greek
25,bread,Rye
25,bread,Baguette
25,cheese,Cheddar
25,cheese,Camembert
25,cheese,Roquefort
25,salad,Waldorf
25,salad,Caprese
26,bread,Baguette
26,bread,Sourdough
26,bread,Rye
26,cheese,Roquefort
26,cheese,Mozzarella
26,salad,Greek
27,bread,Sourdough
27,cheese,Camembert
27,cheese,Gouda
27,cheese,Brie
27,salad,Greek
27,salad,Caprese
27,salad,Waldorf
28,bread,Baguette
28,cheese,Brie
28,salad,Caesar
28,salad,Waldorf
28,salad,Greek
29,bread,Focaccia
29,cheese,Camembert
29,cheese,Cheddar
29,salad,Caprese
29,salad,Caesar
30,bread,Baguette
30,cheese,Gouda
30,cheese,Cheddar
30,salad,Greek
30,salad,Waldorf
30,salad,Wedge
31,bread,Focaccia
31,bread,Baguette
31,cheese,Cheddar
31,cheese,Gouda
31,salad,Greek
31,salad,Waldorf
32,bread,Baguette
32,bread,Sourdough
32,cheese,Gouda
32,cheese,Brie
32,salad,Greek
32,salad,Waldorf
33,bread,Baguette
33,bread,Focaccia
33,bread,Sourdough
33,cheese,Camembert
33,salad,Caesar
33,salad,Greek
34,bread,Sourdough
34,bread,Baguette
34,bread,Pumpernickel
34,cheese,Gouda
34,cheese,Camembert
34,salad,Greek
35,bread,Sourdough
35,cheese,Mozzarella
35,cheese,Cheddar
35,salad,Greek
35,salad,Caesar
35,salad,Caprese
36,bread,Baguette
36,bread,Rye
36,cheese,Gouda
36,salad,Greek
36,salad,Caprese
36,salad,Caesar
37,bread,Baguette
37,bread,Sourdough
37,cheese,Camembert
37,cheese,Parmesan
37,cheese,Gouda
37,salad,Greek
38,bread,Baguette
38,cheese,Gouda
38,cheese,Roquefort
38,salad,Greek
39,bread,Pumpernickel
39,cheese,Roquefort
39,cheese,Gouda
39,salad,Greek
39,salad,Cobb
40,bread,Rye
40,cheese,Mozzarella
40,cheese,Camembert
40,cheese,Cheddar
40,salad,Waldorf
40,salad,Caprese
41,bread,Focaccia
41,bread,Sourdough
41,bread,Rye
41,cheese,Cheddar
41,salad,Caprese
41,salad,Wedge
42,bread,Rye
42,bread,Sourdough
42,cheese,Camembert
42,cheese,Gouda
42,salad,Caprese
42,salad,Caesar
42,salad,Waldorf
43,bread,Sourdough
43,bread,Baguette
43,cheese,Cheddar
43,cheese,Gouda
43,salad,Caprese
43,salad,Greek
43,salad,Wedge
44,bread,Focaccia
44,bread,Baguette
44,cheese,Cheddar
44,salad,Caesar
44,salad,Waldorf
45,bread,Pumpernickel
45,cheese,Parmesan
45,cheese,Cheddar
45,salad,Caprese
45,salad,Greek
46,bread,Sourdough
46,bread,Baguette
46,cheese,Roquefort
46,salad,Caesar
47,bread,Pumpernickel
47,bread,Sourdough
47,cheese,Cheddar
47,cheese,Camembert
47,cheese,Gouda
47,salad,Wedge
47,salad,Caprese
47,salad,Caesar
48,bread,Sourdough
48,bread,Baguette
48,cheese,Mozzarella
48,cheese,Parmesan
48,cheese,Gouda
48,salad,Greek
48,salad,Caprese
48,salad,Wedge
49,bread,Baguette
49,bread,Sourdough
49,bread,Focaccia
49,cheese,Cheddar
49,cheese,Camembert
49,cheese,Parmesan
49,salad,Caesar
50,bread,Baguette
50,bread,Rye
50,bread,Focaccia
50,cheese,Cheddar
50,cheese,Camembert
50,salad,Greek
50,salad,Wedge
50,salad,Caprese
51,bread,Baguette
51,bread,Rye
51,cheese,Brie
51,cheese,Cheddar
51,salad,Waldorf
51,salad,Caprese
52,bread,Sourdough
52,bread,Focaccia
52,bread,Baguette
52,cheese,Camembert
52,cheese,Cheddar
52,cheese,Gouda
52,salad,Caesar
52,salad,Greek
53,bread,Baguette
53,bread,Sourdough
53,cheese,Camembert
53,cheese,Gouda
53,salad,Caesar
53,salad,Caprese
53,salad,Greek
54,bread,Baguette
54,bread,Focaccia
54,cheese,Cheddar
54,cheese,Parmesan
54,salad,Greek
54,salad,Caesar
54,salad,Wedge
55,bread,Rye
55,bread,Baguette
55,cheese,Brie
55,cheese,Camembert
55,cheese,Cheddar
55,salad,Caesar
55,salad,Caprese
56,bread,Baguette
56,bread,Sourdough
56,bread,Rye
56,cheese,Cheddar
56,cheese,Camembert
56,salad,Greek
56,salad,Caprese
57,bread,Baguette
57,bread,Sourdough
57,cheese,Camembert
57,cheese,Mozzarella
57,salad,Wedge
57,salad,Caesar
57,salad,Greek
58,bread,Focaccia
58,bread,Sourdough
58,cheese,Camembert
58,cheese,Mozzarella
58,salad,Caprese
58,salad,Caesar
58,salad,Greek
59,bread,Baguette
59,bread,Focaccia
59,cheese,Roquefort
59,salad,Greek
59,salad,Caprese
60,bread,Baguette
60,cheese,Camembert
60,cheese,Gouda
60,salad,Greek
60,salad,Caesar
60,salad,Cobb
61,bread,Baguette
61,cheese,Parmesan
61,cheese,Camembert
61,cheese,Mozzarella
61,salad,Wedge
61,salad,Caesar
61,salad,Greek
62,bread,Rye
62,bread,Baguette
62,bread,Focaccia
62,cheese,Roquefort
62,cheese,Camembert
62,salad,Caesar
63,bread,Sourdough
63,bread,Rye
63,bread,Pumpernickel
63,cheese,Brie
63,cheese,Cheddar
63,salad,Caesar
63,salad,Waldorf
64,bread,Baguette
64,bread,Focaccia
64,cheese,Camembert
64,cheese,Cheddar
64,cheese,Gouda
64,salad,Cobb
64,salad,Greek
64,salad,Caprese
65,bread,Baguette
65,bread,Sourdough
65,cheese,Gouda
65,salad,Greek
65,salad,Caprese
65,salad,Wedge
66,bread,Rye
66,bread,Focaccia
66,cheese,Camembert
66,cheese,Cheddar
66,salad,Caesar
67,bread,Focaccia
67,cheese,Camembert
67,salad,Greek
67,salad,Caesar
68,bread,Baguette
68,bread,Sourdough
68,bread,Rye
68,cheese,Parmesan
68,salad,Caprese
68,salad,Waldorf
69,bread,Sourdough
69,bread,Baguette
69,cheese,Camembert
69,cheese,Cheddar
69,cheese,Mozzarella
69,salad,Caprese
69,salad,Caesar
69,salad,Greek
70,bread,Baguette
70,bread,Rye
70,bread,Sourdough
70,cheese,Cheddar
70,salad,Caesar
70,salad,Caprese
71,bread,Rye
71,bread,Baguette
71,bread,Focaccia
71,cheese,Gouda
71,cheese,Camembert
71,salad,Caesar
71,salad,Greek
71,salad,Caprese
72,bread,Focaccia
72,bread,Baguette
72,cheese,Mozzarella
72,cheese,Cheddar
72,cheese,Parmesan
72,salad,Caesar
72,salad,Wedge
72,salad,Caprese
73,bread,Baguette
73,bread,Rye
73,bread,Pumpernickel
73,cheese,Brie
73,cheese,Camembert
73,cheese,Parmesan
73,salad,Cobb
73,salad,Greek
73,salad,Caesar
74,bread,Baguette
74,cheese,Camembert
74,cheese,Cheddar
74,salad,Cobb
74,salad,Caesar
74,salad,Greek
75,bread,Rye
75,bread,Focaccia
